course_code,course_name,section_code,lecturer_code,required_sessions,weekly_sessions,periods_per_session,second_session_periods,expected_students,initial_registration_limit,approved_max_students,scheduling_student_count,course_type,required_room_type,start_date,end_date,campus_code,notes
IT124,Quản lý dự án phần mềm,IT124_01,GV004,15,1,3,,56,60,,60,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT101,Nhập môn lập trình,IT101_02,GV005,15,1,3,,45,50,,50,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT102,Kỹ thuật lập trình,IT102_02,GV006,15,1,5,,40,45,45,45,PRACTICE,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT103,Cấu trúc dữ liệu và giải thuật,IT103_02,GV007,15,1,3,,47,52,,52,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT104,Cơ sở dữ liệu,IT104_02,GV008,15,1,5,,42,47,,47,INTEGRATED,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT105,Hệ quản trị cơ sở dữ liệu,IT105_02,GV009,15,1,6,,43,48,,48,PRACTICE,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT106,Mạng máy tính,IT106_02,GV010,15,1,3,,50,55,,55,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT107,An toàn thông tin,IT107_02,GV011,15,1,3,,51,56,56,56,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT108,Phân tích thiết kế hệ thống,IT108_02,GV012,15,1,3,,52,57,,57,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT109,Công nghệ phần mềm,IT109_02,GV013,15,1,5,,37,42,,42,INTEGRATED,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT110,Kiểm thử phần mềm,IT110_02,GV014,15,1,5,,38,43,,43,PRACTICE,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT111,Lập trình web,IT111_02,GV015,15,1,5,,39,44,,44,INTEGRATED,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT112,Phát triển ứng dụng di động,IT112_02,GV016,15,1,6,,40,45,45,45,PRACTICE,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT113,Trí tuệ nhân tạo,IT113_02,GV017,15,1,3,,45,100,,100,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT114,Học máy,IT114_02,GV018,15,1,5,,42,47,,47,INTEGRATED,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT115,Khai phá dữ liệu,IT115_02,GV019,15,1,3,,47,52,,52,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT116,Điện toán đám mây,IT116_02,GV020,15,1,3,,48,53,,53,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT117,DevOps và triển khai phần mềm,IT117_02,GV001,15,1,5,,35,40,40,40,PRACTICE,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT118,Thiết kế giao diện người dùng,IT118_02,GV002,15,1,5,,36,41,,41,INTEGRATED,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT119,Hệ điều hành,IT119_02,GV003,15,1,3,,51,56,,56,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT120,Kiến trúc máy tính,IT120_02,GV004,15,1,3,,52,100,,100,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT121,Xử lý ảnh số,IT121_02,GV005,15,1,5,,36,41,,41,PRACTICE,SPECIALIZED_LAB,2026-09-07,2026-12-20,CS1,
IT122,Internet vạn vật,IT122_02,GV006,15,1,6,,37,42,42,42,INTEGRATED,SPECIALIZED_LAB,2026-09-07,2026-12-20,CS1,
IT123,Phân tích dữ liệu kinh doanh,IT123_02,GV007,15,1,3,,55,100,,100,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT124,Quản lý dự án phần mềm,IT124_02,GV008,15,1,3,,56,60,,60,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT101,Nhập môn lập trình,IT101_03,GV009,15,1,3,,45,50,,50,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT102,Kỹ thuật lập trình,IT102_03,GV010,15,1,5,,44,49,,49,PRACTICE,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT103,Cấu trúc dữ liệu và giải thuật,IT103_03,GV011,15,1,3,,47,52,52,52,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT104,Cơ sở dữ liệu,IT104_03,GV012,15,1,5,,36,41,,41,INTEGRATED,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT105,Hệ quản trị cơ sở dữ liệu,IT105_03,GV013,15,1,6,,37,42,,42,PRACTICE,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT106,Mạng máy tính,IT106_03,GV014,15,1,3,,50,55,,55,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT107,An toàn thông tin,IT107_03,GV015,15,1,3,,51,56,,56,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT108,Phân tích thiết kế hệ thống,IT108_03,GV016,15,1,3,,52,57,57,57,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT109,Công nghệ phần mềm,IT109_03,GV017,15,1,5,,41,46,,46,INTEGRATED,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT110,Kiểm thử phần mềm,IT110_03,GV018,15,1,5,,42,47,,47,PRACTICE,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT111,Lập trình web,IT111_03,GV019,15,1,5,,43,48,,48,INTEGRATED,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT112,Phát triển ứng dụng di động,IT112_03,GV020,15,1,6,,44,49,,49,PRACTICE,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT113,Trí tuệ nhân tạo,IT113_03,GV001,15,1,3,,45,100,,100,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT114,Học máy,IT114_03,GV002,15,1,5,,36,41,,41,INTEGRATED,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT115,Khai phá dữ liệu,IT115_03,GV003,15,1,3,,47,52,,52,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT116,Điện toán đám mây,IT116_03,GV004,15,1,3,,48,53,,53,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT117,DevOps và triển khai phần mềm,IT117_03,GV005,15,1,5,,39,44,,44,PRACTICE,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT118,Thiết kế giao diện người dùng,IT118_03,GV006,15,1,5,,40,45,45,45,INTEGRATED,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT119,Hệ điều hành,IT119_03,GV007,15,1,3,,51,56,,56,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT120,Kiến trúc máy tính,IT120_03,GV008,15,1,3,,52,100,,100,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT121,Xử lý ảnh số,IT121_03,GV009,15,1,5,,36,41,,41,PRACTICE,SPECIALIZED_LAB,2026-09-07,2026-12-20,CS1,
IT122,Internet vạn vật,IT122_03,GV010,15,1,6,,37,42,,42,INTEGRATED,SPECIALIZED_LAB,2026-09-07,2026-12-20,CS1,
IT123,Phân tích dữ liệu kinh doanh,IT123_03,GV011,15,1,3,,55,100,,100,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT124,Quản lý dự án phần mềm,IT124_03,GV012,15,1,3,,56,60,,60,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT101,Nhập môn lập trình,IT101_04,GV013,15,1,3,,45,50,,50,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT102,Kỹ thuật lập trình,IT102_04,GV014,15,1,5,,38,43,,43,PRACTICE,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT103,Cấu trúc dữ liệu và giải thuật,IT103_04,GV015,15,1,3,,47,52,,52,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT104,Cơ sở dữ liệu,IT104_04,GV016,15,1,5,,40,45,45,45,INTEGRATED,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT105,Hệ quản trị cơ sở dữ liệu,IT105_04,GV017,15,1,6,,41,46,,46,PRACTICE,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT106,Mạng máy tính,IT106_04,GV018,15,1,3,,50,55,,55,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT107,An toàn thông tin,IT107_04,GV019,15,1,3,,51,56,,56,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT108,Phân tích thiết kế hệ thống,IT108_04,GV020,15,1,3,,52,57,,57,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT109,Công nghệ phần mềm,IT109_04,GV001,15,1,5,,35,40,40,40,INTEGRATED,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT110,Kiểm thử phần mềm,IT110_04,GV002,15,1,5,,36,41,,41,PRACTICE,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT111,Lập trình web,IT111_04,GV003,15,1,5,,37,42,,42,INTEGRATED,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT112,Phát triển ứng dụng di động,IT112_04,GV004,15,1,6,,38,43,,43,PRACTICE,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT113,Trí tuệ nhân tạo,IT113_04,GV005,15,1,3,,45,100,,100,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT114,Học máy,IT114_04,GV006,15,1,5,,40,45,45,45,INTEGRATED,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT115,Khai phá dữ liệu,IT115_04,GV007,15,1,3,,47,52,,52,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT116,Điện toán đám mây,IT116_04,GV008,15,1,3,,48,53,,53,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT117,DevOps và triển khai phần mềm,IT117_04,GV009,15,1,5,,43,48,,48,PRACTICE,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT118,Thiết kế giao diện người dùng,IT118_04,GV010,15,1,5,,44,49,,49,INTEGRATED,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT119,Hệ điều hành,IT119_04,GV011,15,1,3,,51,56,56,56,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT120,Kiến trúc máy tính,IT120_04,GV012,15,1,3,,52,100,,100,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT121,Xử lý ảnh số,IT121_04,GV013,15,1,5,,36,41,,41,PRACTICE,SPECIALIZED_LAB,2026-09-07,2026-12-20,CS1,
IT122,Internet vạn vật,IT122_04,GV014,15,1,6,,37,42,,42,INTEGRATED,SPECIALIZED_LAB,2026-09-07,2026-12-20,CS1,
IT123,Phân tích dữ liệu kinh doanh,IT123_04,GV015,15,1,3,,55,100,,100,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT124,Quản lý dự án phần mềm,IT124_04,GV016,15,1,3,,56,60,60,60,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT101,Nhập môn lập trình,IT101_05,GV017,15,1,3,,45,50,,50,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT102,Kỹ thuật lập trình,IT102_05,GV018,15,1,5,,42,47,,47,PRACTICE,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT103,Cấu trúc dữ liệu và giải thuật,IT103_05,GV019,15,1,3,,47,52,,52,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT104,Cơ sở dữ liệu,IT104_05,GV020,15,1,5,,44,49,,49,INTEGRATED,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT105,Hệ quản trị cơ sở dữ liệu,IT105_05,GV001,15,1,6,,35,40,40,40,PRACTICE,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT106,Mạng máy tính,IT106_05,GV002,15,1,3,,50,55,,55,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT107,An toàn thông tin,IT107_05,GV003,15,1,3,,51,56,,56,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT108,Phân tích thiết kế hệ thống,IT108_05,GV004,15,1,3,,52,57,,57,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT109,Công nghệ phần mềm,IT109_05,GV005,15,1,5,,39,44,,44,INTEGRATED,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT110,Kiểm thử phần mềm,IT110_05,GV006,15,1,5,,40,45,45,45,PRACTICE,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT111,Lập trình web,IT111_05,GV007,15,1,5,,41,46,,46,INTEGRATED,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT112,Phát triển ứng dụng di động,IT112_05,GV008,15,1,6,,42,47,,47,PRACTICE,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT113,Trí tuệ nhân tạo,IT113_05,GV009,15,1,3,,45,100,,100,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT114,Học máy,IT114_05,GV010,15,1,5,,44,49,,49,INTEGRATED,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT115,Khai phá dữ liệu,IT115_05,GV011,15,1,3,,47,52,52,52,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT116,Điện toán đám mây,IT116_05,GV012,15,1,3,,48,53,,53,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT117,DevOps và triển khai phần mềm,IT117_05,GV013,15,1,5,,37,42,,42,PRACTICE,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT118,Thiết kế giao diện người dùng,IT118_05,GV014,15,1,5,,38,43,,43,INTEGRATED,COMPUTER_LAB,2026-09-07,2026-12-20,CS1,
IT119,Hệ điều hành,IT119_05,GV015,15,1,3,,51,56,,56,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT120,Kiến trúc máy tính,IT120_05,GV016,15,1,3,,52,100,,100,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT121,Xử lý ảnh số,IT121_05,GV017,15,1,5,,36,41,,41,PRACTICE,SPECIALIZED_LAB,2026-09-07,2026-12-20,CS1,
IT122,Internet vạn vật,IT122_05,GV018,15,1,6,,37,42,,42,INTEGRATED,SPECIALIZED_LAB,2026-09-07,2026-12-20,CS1,
IT123,Phân tích dữ liệu kinh doanh,IT123_05,GV019,15,1,3,,55,100,,100,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
IT124,Quản lý dự án phần mềm,IT124_05,GV020,15,1,3,,56,60,,60,THEORY,THEORY_ROOM,2026-09-07,2026-12-20,CS1,
